epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,463.489,1.0401,1.52609,0.00204,0.72902,0.65572,0.68122,0.52594,0.84379,0.76151,0.00165,0.0005941,0.0005941,0.0005941
43,474.241,0.98901,1.45646,0.00199,0.72759,0.6646,0.6771,0.52106,0.83842,0.75042,0.00162,0.0005842,0.0005842,0.0005842
44,484.184,1.04875,1.42802,0.00187,0.7137,0.64342,0.68297,0.52299,0.84375,0.74721,0.00164,0.0005743,0.0005743,0.0005743
45,495.669,1.04237,1.48495,0.00205,0.761,0.62183,0.69893,0.52501,0.91829,0.73394,0.00183,0.0005644,0.0005644,0.0005644
46,505.889,1.09886,1.42782,0.002,0.75442,0.64443,0.70329,0.53231,0.84085,0.72979,0.00158,0.0005545,0.0005545,0.0005545
47,515.921,1.02473,1.44703,0.00192,0.71737,0.70035,0.71743,0.55666,0.80705,0.70459,0.00157,0.0005446,0.0005446,0.0005446
48,526.444,0.99403,1.43308,0.00198,0.71885,0.70326,0.71796,0.55684,0.79878,0.68857,0.00157,0.0005347,0.0005347,0.0005347
49,537.259,0.99005,1.25302,0.00189,0.62606,0.71365,0.73466,0.54277,0.88325,0.72102,0.00168,0.0005248,0.0005248,0.0005248
50,547.383,0.99269,1.3245,0.00196,0.64762,0.70483,0.73288,0.5546,0.81333,0.70764,0.00157,0.0005149,0.0005149,0.0005149
51,556.904,0.98455,1.26656,0.00196,0.64713,0.68719,0.73336,0.56834,0.79913,0.70035,0.00156,0.000505,0.000505,0.000505
52,567.432,0.95689,1.2438,0.00197,0.80456,0.6381,0.7298,0.55991,0.81603,0.68034,0.00156,0.0004951,0.0004951,0.0004951
53,577.998,0.98458,1.19154,0.00184,0.80045,0.6237,0.73953,0.57829,0.78769,0.71009,0.00152,0.0004852,0.0004852,0.0004852
54,588.482,0.9496,1.24789,0.00199,0.64734,0.72006,0.7401,0.57147,0.8231,0.73028,0.00158,0.0004753,0.0004753,0.0004753
