epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
28,453.852,0.78827,1.27915,1.01797,1.0393,0,0.82352,0.64044,0.69291,0.52722,0.80454,0.62471,0.67672,0.43478,0.75167,1.16662,0.83698,0.99792,0,0.000610339,0.000610339,0.000610339
29,470.283,0.83882,1.36934,1.002,1.06325,0,0.7845,0.60059,0.6535,0.48163,0.77318,0.59282,0.64104,0.42084,0.79603,1.14303,0.88157,1.00766,0,0.000602092,0.000602092,0.000602092
30,486.004,0.81155,1.36634,0.9948,1.04866,0,0.79931,0.65264,0.7107,0.53596,0.78311,0.63559,0.69411,0.43605,0.75765,1.12834,0.84164,0.99496,0,0.000593846,0.000593846,0.000593846
31,501.043,0.81781,1.34628,1.01839,1.05183,0,0.78383,0.66362,0.71572,0.53285,0.77784,0.66374,0.71078,0.4755,0.7905,1.10113,0.82368,0.99753,0,0.000585599,0.000585599,0.000585599
32,516.708,0.80598,1.35122,0.97349,1.03495,0,0.8288,0.64634,0.72113,0.53814,0.81433,0.64098,0.6935,0.43643,0.74394,1.07078,0.79421,0.99075,0,0.000577352,0.000577352,0.000577352
33,532.541,0.79715,1.33837,0.95114,1.04642,0,0.84029,0.63846,0.74073,0.55172,0.81449,0.62062,0.72128,0.47504,0.75583,1.0886,0.77316,0.9942,0,0.000569106,0.000569106,0.000569106
34,549.035,0.79231,1.3161,0.97136,1.0414,0,0.80801,0.68349,0.74703,0.55639,0.79826,0.67429,0.73712,0.47619,0.76474,1.08649,0.75427,0.99441,0,0.000560859,0.000560859,0.000560859
35,564.764,0.79575,1.26447,0.94514,1.03554,0,0.81995,0.6759,0.74278,0.55415,0.81237,0.66799,0.73192,0.47576,0.74053,1.0656,0.74884,0.98606,0,0.000552612,0.000552612,0.000552612
36,580.196,0.78701,1.28345,0.9277,1.02253,0,0.75904,0.69648,0.75424,0.55956,0.73632,0.71304,0.74054,0.47541,0.7312,1.05155,0.7585,0.981,0,0.000544365,0.000544365,0.000544365
37,596.312,0.79101,1.31892,0.95345,1.05366,0,0.81265,0.68769,0.75814,0.56978,0.80349,0.69216,0.73315,0.47968,0.71568,1.0405,0.73876,0.97186,0,0.000536119,0.000536119,0.000536119
38,611.735,0.78026,1.30348,0.92027,1.02138,0,0.87445,0.68642,0.76984,0.57806,0.86784,0.69124,0.74486,0.47086,0.7246,1.0616,0.75159,0.97281,0,0.000527872,0.000527872,0.000527872
39,628.524,0.76658,1.26063,0.91469,1.03615,0,0.82605,0.71963,0.76791,0.57176,0.81478,0.7114,0.73692,0.47032,0.72502,1.06905,0.74047,0.96973,0,0.000519625,0.000519625,0.000519625
40,643.851,0.78629,1.30076,0.91215,1.04018,0,0.81717,0.66681,0.76453,0.57397,0.71215,0.68319,0.72876,0.47064,0.70283,1.04333,0.73581,0.9727,0,0.000511379,0.000511379,0.000511379
41,659.473,0.74856,1.25141,0.9248,1.02369,0,0.76123,0.74284,0.76875,0.5717,0.71245,0.7335,0.75168,0.48795,0.72338,1.04074,0.72375,0.98545,0,0.000503132,0.000503132,0.000503132
42,675.975,0.74213,1.23449,0.86202,1.00306,0,0.73885,0.73667,0.77001,0.58198,0.71977,0.72592,0.75924,0.48281,0.71589,1.07117,0.71317,0.97413,0,0.000494885,0.000494885,0.000494885
43,691.161,0.7437,1.18051,0.85094,1.0124,0,0.74788,0.76339,0.76147,0.57587,0.75818,0.75447,0.76682,0.48442,0.7163,1.03859,0.73906,0.9738,0,0.000486639,0.000486639,0.000486639
44,707.79,0.76247,1.2411,0.90082,1.02935,0,0.75552,0.75329,0.76795,0.57167,0.70935,0.73525,0.74421,0.47683,0.7483,1.04629,0.75405,0.98937,0,0.000478392,0.000478392,0.000478392
45,723.463,0.76115,1.21797,0.88916,1.03459,0,0.79282,0.73397,0.78289,0.58685,0.80095,0.73402,0.77813,0.50946,0.73488,1.02536,0.70824,0.97909,0,0.000470145,0.000470145,0.000470145
46,739.472,0.75027,1.23782,0.84531,1.0166,0,0.7855,0.74335,0.77743,0.58908,0.83353,0.75036,0.79593,0.51821,0.71604,1.00023,0.69934,0.98078,0,0.000461898,0.000461898,0.000461898
47,754.731,0.74574,1.19255,0.8706,1.02452,0,0.79774,0.74081,0.79174,0.61369,0.76329,0.70658,0.76383,0.50904,0.67682,0.97566,0.6736,0.95107,0,0.000453652,0.000453652,0.000453652
48,770.217,0.74823,1.24604,0.86798,1.01363,0,0.83052,0.76624,0.80119,0.60595,0.79199,0.74405,0.77003,0.50194,0.70375,0.99104,0.6775,0.9546,0,0.000445405,0.000445405,0.000445405
49,786.381,0.74841,1.20081,0.8617,1.02666,0,0.84246,0.72903,0.79254,0.59775,0.74594,0.72416,0.756,0.49064,0.68734,1.00506,0.68765,0.95773,0,0.000437158,0.000437158,0.000437158
50,802.103,0.74029,1.21492,0.87836,1.01939,0,0.84759,0.74171,0.80704,0.61624,0.85314,0.70855,0.7757,0.49265,0.69684,0.96791,0.67688,0.96293,0,0.000428912,0.000428912,0.000428912
51,817.6,0.74099,1.20867,0.84445,1.01594,0,0.82649,0.77345,0.81163,0.61235,0.80416,0.76466,0.79474,0.52714,0.7106,0.97618,0.67796,0.96415,0,0.000420665,0.000420665,0.000420665
52,833.226,0.72767,1.18054,0.81536,1.01124,0,0.8367,0.77564,0.82115,0.62241,0.80043,0.74266,0.78377,0.51928,0.69205,0.9709,0.65757,0.95722,0,0.000412418,0.000412418,0.000412418
53,848.953,0.71482,1.15249,0.79463,0.98968,0,0.8409,0.80613,0.83013,0.6332,0.79569,0.78154,0.8054,0.53155,0.6849,0.95184,0.64719,0.94697,0,0.000404172,0.000404172,0.000404172
54,864.51,0.71699,1.1891,0.81585,1.01591,0,0.85349,0.79624,0.8287,0.6288,0.79963,0.7599,0.7993,0.5269,0.68056,0.964,0.63658,0.94541,0,0.000395925,0.000395925,0.000395925
55,881.346,0.70944,1.17199,0.8001,0.9931,0,0.83238,0.77193,0.82472,0.62846,0.79618,0.76496,0.8001,0.51665,0.68081,0.96188,0.64631,0.95314,0,0.000387678,0.000387678,0.000387678
56,896.666,0.72758,1.1444,0.79784,0.99565,0,0.8217,0.78892,0.82077,0.61899,0.76828,0.78322,0.79394,0.52993,0.72214,1.00968,0.66531,0.9638,0,0.000379431,0.000379431,0.000379431
57,912.081,0.72566,1.19375,0.81939,0.99729,0,0.81294,0.7952,0.82678,0.62042,0.79146,0.76134,0.78855,0.50665,0.68728,0.96235,0.65731,0.95013,0,0.000371185,0.000371185,0.000371185
58,927.4,0.70006,1.1422,0.79792,1.00424,0,0.78667,0.82826,0.83736,0.62289,0.79814,0.76137,0.80333,0.53195,0.67174,0.95396,0.6437,0.94374,0,0.000362938,0.000362938,0.000362938
59,942.896,0.70738,1.16725,0.77174,0.99043,0,0.84057,0.79135,0.83184,0.63381,0.78562,0.77983,0.79584,0.53249,0.65789,0.95198,0.63599,0.93576,0,0.000354691,0.000354691,0.000354691
60,958.965,0.6946,1.09627,0.77691,0.99445,0,0.82942,0.78927,0.82983,0.62568,0.79616,0.77617,0.81357,0.54211,0.68013,0.93044,0.64476,0.94673,0,0.000346445,0.000346445,0.000346445
