epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,382.005,0.80734,0.77743,0.90396,0.89705,0.7965,0.85158,0.65324,0.73802,0.60878,0.83929,0.0005941,0.0005941,0.0005941
43,390.815,0.77476,0.75952,0.88548,0.8778,0.7919,0.84779,0.62956,0.7419,0.60269,0.84572,0.0005842,0.0005842,0.0005842
44,400.416,0.81493,0.7491,0.88185,0.86249,0.79343,0.84661,0.64941,0.71454,0.58103,0.84147,0.0005743,0.0005743,0.0005743
45,410.491,0.8168,0.7905,0.90327,0.87816,0.82106,0.86975,0.64432,0.74031,0.59627,0.84293,0.0005644,0.0005644,0.0005644
46,419.32,0.83135,0.77341,0.89638,0.90032,0.75136,0.85545,0.6319,0.7205,0.59401,0.84183,0.0005545,0.0005545,0.0005545
47,428.386,0.82294,0.77334,0.89625,0.86416,0.78061,0.84882,0.6469,0.71506,0.56977,0.84522,0.0005446,0.0005446,0.0005446
48,437.791,0.8105,0.79101,0.89409,0.84448,0.85159,0.88206,0.66818,0.71243,0.5579,0.84414,0.0005347,0.0005347,0.0005347
49,446.441,0.80633,0.70986,0.89316,0.90129,0.80475,0.86373,0.64052,0.77211,0.59882,0.85779,0.0005248,0.0005248,0.0005248
50,455.35,0.8119,0.74699,0.90019,0.88762,0.80925,0.86523,0.65357,0.73703,0.58719,0.84854,0.0005149,0.0005149,0.0005149
51,465.088,0.79504,0.71753,0.8985,0.82323,0.84603,0.86326,0.66846,0.68494,0.55789,0.83401,0.000505,0.000505,0.000505
52,474.277,0.74844,0.69887,0.87873,0.90376,0.83068,0.86874,0.65951,0.7149,0.56137,0.83494,0.0004951,0.0004951,0.0004951
53,483.103,0.76065,0.68373,0.88066,0.87116,0.7951,0.83883,0.65166,0.71023,0.58835,0.83967,0.0004852,0.0004852,0.0004852
54,492.349,0.74387,0.69169,0.88302,0.92744,0.80377,0.86657,0.67402,0.68979,0.53665,0.83245,0.0004753,0.0004753,0.0004753
55,501.286,0.72096,0.68804,0.88368,0.93474,0.78696,0.87159,0.68231,0.70172,0.52797,0.83312,0.0004654,0.0004654,0.0004654
56,510.273,0.76703,0.69514,0.89834,0.9325,0.79129,0.86581,0.67753,0.66708,0.52682,0.83217,0.0004555,0.0004555,0.0004555
57,519.61,0.75714,0.68614,0.88578,0.90811,0.78492,0.86695,0.67109,0.69759,0.52129,0.83383,0.0004456,0.0004456,0.0004456
58,529.136,0.76908,0.69346,0.88065,0.89326,0.78844,0.86561,0.67107,0.6991,0.5217,0.8367,0.0004357,0.0004357,0.0004357
59,537.555,0.72462,0.69532,0.87194,0.89716,0.80209,0.87004,0.6785,0.66271,0.52313,0.82959,0.0004258,0.0004258,0.0004258
60,546.96,0.74685,0.69137,0.87694,0.86553,0.80883,0.8703,0.65889,0.71953,0.53122,0.84091,0.0004159,0.0004159,0.0004159
61,555.792,0.78531,0.70773,0.88255,0.85828,0.83712,0.87186,0.68348,0.665,0.52149,0.82907,0.000406,0.000406,0.000406
62,564.594,0.75835,0.65558,0.88054,0.89386,0.83864,0.87465,0.68169,0.66843,0.51627,0.82806,0.0003961,0.0003961,0.0003961
63,574.323,0.79008,0.7277,0.89616,0.90672,0.80985,0.86201,0.66903,0.69922,0.52858,0.83046,0.0003862,0.0003862,0.0003862
64,584.049,0.73395,0.67943,0.87932,0.87959,0.825,0.8665,0.66912,0.69135,0.52214,0.8314,0.0003763,0.0003763,0.0003763
65,592.457,0.75958,0.66527,0.87515,0.88784,0.83571,0.8714,0.6841,0.65963,0.51418,0.82741,0.0003664,0.0003664,0.0003664
